data,casa,fora,gols_casa,gols_fora,status
2024-06-26T22:00:00Z,Botafogo FR,RB Bragantino,2,1,FINISHED
2024-06-26T22:00:00Z,Cruzeiro EC,CA Paranaense,2,0,FINISHED
2024-06-26T23:00:00Z,AC Goianiense,Grêmio FBPA,1,1,FINISHED
2024-06-26T23:00:00Z,SC Corinthians Paulista,Cuiabá EC,1,1,FINISHED
2024-06-26T23:00:00Z,EC Juventude,CR Flamengo,2,1,FINISHED
2024-06-27T00:30:00Z,EC Bahia,CR Vasco da Gama,2,1,FINISHED
2024-06-27T00:30:00Z,Fortaleza EC,SE Palmeiras,3,0,FINISHED
2024-06-27T00:30:00Z,SC Internacional,CA Mineiro,1,2,FINISHED
2024-06-27T22:00:00Z,Fluminense FC,EC Vitória,0,1,FINISHED
2024-06-27T23:00:00Z,São Paulo FC,Criciúma EC,2,1,FINISHED
2024-06-29T21:30:00Z,Cuiabá EC,RB Bragantino,1,1,FINISHED
2024-06-29T21:30:00Z,CR Vasco da Gama,Botafogo FR,1,1,FINISHED
2024-06-30T14:00:00Z,CA Mineiro,AC Goianiense,1,1,FINISHED
2024-06-30T19:00:00Z,Fortaleza EC,EC Juventude,2,1,FINISHED
2024-06-30T19:00:00Z,Grêmio FBPA,Fluminense FC,1,0,FINISHED
2024-06-30T19:00:00Z,São Paulo FC,EC Bahia,3,1,FINISHED
2024-06-30T21:30:00Z,Criciúma EC,SC Internacional,1,1,FINISHED
2024-06-30T21:30:00Z,CR Flamengo,Cruzeiro EC,2,1,FINISHED
2024-06-30T21:30:00Z,EC Vitória,CA Paranaense,0,1,FINISHED
2024-07-01T23:00:00Z,SE Palmeiras,SC Corinthians Paulista,2,0,FINISHED
2024-07-03T22:00:00Z,Cuiabá EC,Botafogo FR,1,2,FINISHED
2024-07-03T23:00:00Z,Criciúma EC,Cruzeiro EC,1,0,FINISHED
2024-07-03T23:00:00Z,CR Vasco da Gama,Fortaleza EC,2,0,FINISHED
2024-07-04T00:30:00Z,CA Paranaense,São Paulo FC,1,2,FINISHED
2024-07-04T00:30:00Z,CA Mineiro,CR Flamengo,2,4,FINISHED
2024-07-04T00:30:00Z,RB Bragantino,AC Goianiense,3,1,FINISHED
2024-07-04T22:00:00Z,EC Bahia,EC Juventude,2,0,FINISHED
2024-07-04T22:00:00Z,Grêmio FBPA,SE Palmeiras,2,2,FINISHED
2024-07-04T23:00:00Z,SC Corinthians Paulista,EC Vitória,3,2,FINISHED
2024-07-04T23:00:00Z,Fluminense FC,SC Internacional,1,1,FINISHED
2024-07-06T23:00:00Z,CR Flamengo,Cuiabá EC,1,1,FINISHED
2024-07-06T23:00:00Z,São Paulo FC,RB Bragantino,2,0,FINISHED
2024-07-07T19:00:00Z,Cruzeiro EC,SC Corinthians Paulista,3,0,FINISHED
2024-07-07T19:00:00Z,Fortaleza EC,Fluminense FC,1,0,FINISHED
2024-07-07T19:00:00Z,EC Juventude,Grêmio FBPA,3,0,FINISHED
2024-07-07T21:00:00Z,SC Internacional,CR Vasco da Gama,1,2,FINISHED
2024-07-07T21:30:00Z,AC Goianiense,CA Paranaense,1,2,FINISHED
2024-07-07T21:30:00Z,SE Palmeiras,EC Bahia,2,0,FINISHED
2024-07-07T21:30:00Z,EC Vitória,Criciúma EC,2,1,FINISHED
2024-07-07T23:30:00Z,Botafogo FR,CA Mineiro,3,0,FINISHED
2024-07-10T21:30:00Z,Grêmio FBPA,Cruzeiro EC,0,2,FINISHED
2024-07-10T22:00:00Z,CA Paranaense,EC Bahia,1,3,FINISHED
2024-07-10T22:00:00Z,CR Vasco da Gama,SC Corinthians Paulista,2,0,FINISHED
2024-07-11T22:30:00Z,SE Palmeiras,AC Goianiense,3,1,FINISHED
2024-07-11T23:00:00Z,Criciúma EC,Fluminense FC,1,1,FINISHED
2024-07-11T23:00:00Z,CR Flamengo,Fortaleza EC,1,2,FINISHED
2024-07-12T00:30:00Z,CA Mineiro,São Paulo FC,2,1,FINISHED
2024-07-12T00:30:00Z,EC Vitória,Botafogo FR,0,1,FINISHED
2024-07-13T19:00:00Z,EC Bahia,Cuiabá EC,1,2,FINISHED
2024-07-13T19:00:00Z,Cruzeiro EC,RB Bragantino,2,1,FINISHED
2024-07-16T22:00:00Z,EC Juventude,CA Mineiro,1,1,FINISHED
2024-07-17T00:00:00Z,SC Corinthians Paulista,Criciúma EC,2,1,FINISHED
2024-07-17T22:00:00Z,AC Goianiense,CR Vasco da Gama,0,1,FINISHED
2024-07-17T23:00:00Z,São Paulo FC,Grêmio FBPA,1,0,FINISHED
2024-07-18T00:30:00Z,Botafogo FR,SE Palmeiras,1,0,FINISHED
2024-07-18T00:30:00Z,Fortaleza EC,EC Vitória,3,1,FINISHED
2024-07-20T19:00:00Z,CR Flamengo,Criciúma EC,2,1,FINISHED
2024-07-20T21:30:00Z,Botafogo FR,SC Internacional,1,0,FINISHED
2024-07-21T00:00:00Z,SE Palmeiras,Cruzeiro EC,2,0,FINISHED
2024-07-21T14:00:00Z,Grêmio FBPA,EC Vitória,2,0,FINISHED
2024-07-21T19:00:00Z,CA Mineiro,CR Vasco da Gama,2,0,FINISHED
2024-07-21T19:00:00Z,EC Bahia,SC Corinthians Paulista,0,1,FINISHED
2024-07-21T21:30:00Z,RB Bragantino,CA Paranaense,1,0,FINISHED
2024-07-21T21:30:00Z,Fortaleza EC,AC Goianiense,3,1,FINISHED
2024-07-21T21:30:00Z,EC Juventude,São Paulo FC,0,0,FINISHED
2024-07-21T23:00:00Z,Cuiabá EC,Fluminense FC,0,1,FINISHED
2024-07-24T22:00:00Z,Cruzeiro EC,EC Juventude,2,0,FINISHED
2024-07-24T22:00:00Z,Criciúma EC,Fortaleza EC,1,1,FINISHED
2024-07-24T22:30:00Z,São Paulo FC,Botafogo FR,2,2,FINISHED
2024-07-24T23:00:00Z,EC Vitória,CR Flamengo,1,2,FINISHED
2024-07-25T00:30:00Z,AC Goianiense,EC Bahia,1,1,FINISHED
2024-07-25T00:30:00Z,Fluminense FC,SE Palmeiras,1,0,FINISHED
2024-07-25T23:00:00Z,SC Corinthians Paulista,Grêmio FBPA,2,2,FINISHED
2024-07-27T22:00:00Z,EC Juventude,Criciúma EC,1,2,FINISHED
2024-07-27T22:00:00Z,SE Palmeiras,EC Vitória,0,2,FINISHED
2024-07-27T23:00:00Z,EC Bahia,SC Internacional,1,1,FINISHED
2024-07-28T00:30:00Z,Botafogo FR,Cruzeiro EC,0,3,FINISHED
2024-07-28T00:30:00Z,Fortaleza EC,São Paulo FC,1,0,FINISHED
2024-07-28T14:00:00Z,RB Bragantino,Fluminense FC,0,1,FINISHED
2024-07-28T19:00:00Z,CR Flamengo,AC Goianiense,2,0,FINISHED
2024-07-28T22:00:00Z,CA Mineiro,SC Corinthians Paulista,2,1,FINISHED
2024-07-28T22:00:00Z,Cuiabá EC,CA Paranaense,1,2,FINISHED
2024-07-28T22:00:00Z,Grêmio FBPA,CR Vasco da Gama,1,0,FINISHED
2024-08-03T19:00:00Z,EC Vitória,Cuiabá EC,1,0,FINISHED
2024-08-03T22:00:00Z,CR Vasco da Gama,RB Bragantino,2,2,FINISHED
2024-08-03T23:00:00Z,AC Goianiense,Botafogo FR,1,4,FINISHED
2024-08-03T23:00:00Z,Criciúma EC,CA Mineiro,2,1,FINISHED
2024-08-04T00:30:00Z,São Paulo FC,CR Flamengo,1,0,FINISHED
2024-08-04T19:00:00Z,CA Paranaense,Grêmio FBPA,0,2,FINISHED
2024-08-04T19:00:00Z,SC Corinthians Paulista,EC Juventude,1,1,FINISHED
2024-08-04T19:00:00Z,Fluminense FC,EC Bahia,1,0,FINISHED
2024-08-04T20:00:00Z,SC Internacional,SE Palmeiras,1,1,FINISHED
2024-08-06T00:00:00Z,Cruzeiro EC,Fortaleza EC,1,2,FINISHED
2024-08-10T19:00:00Z,Fortaleza EC,Criciúma EC,1,0,FINISHED
2024-08-10T22:00:00Z,Cuiabá EC,Grêmio FBPA,1,3,FINISHED
2024-08-11T00:30:00Z,SC Corinthians Paulista,RB Bragantino,1,1,FINISHED
2024-08-11T00:30:00Z,Cruzeiro EC,CA Mineiro,0,0,FINISHED
2024-08-11T00:30:00Z,CR Vasco da Gama,Fluminense FC,2,0,FINISHED
2024-08-11T14:00:00Z,EC Juventude,Botafogo FR,3,2,FINISHED
2024-08-11T19:00:00Z,EC Bahia,EC Vitória,2,0,FINISHED
2024-08-11T19:00:00Z,CR Flamengo,SE Palmeiras,1,1,FINISHED
2024-08-11T19:00:00Z,São Paulo FC,AC Goianiense,1,0,FINISHED
2024-08-11T22:00:00Z,SC Internacional,CA Paranaense,2,2,FINISHED
2024-08-14T22:30:00Z,SC Internacional,EC Juventude,2,1,FINISHED
2024-08-17T19:00:00Z,CA Mineiro,Cuiabá EC,1,1,FINISHED
2024-08-17T19:00:00Z,Grêmio FBPA,EC Bahia,0,2,FINISHED
2024-08-17T21:30:00Z,RB Bragantino,Fortaleza EC,1,2,FINISHED
2024-08-18T00:00:00Z,Fluminense FC,SC Corinthians Paulista,0,0,FINISHED
2024-08-18T19:00:00Z,AC Goianiense,SC Internacional,1,0,FINISHED
2024-08-18T19:00:00Z,Criciúma EC,CR Vasco da Gama,2,2,FINISHED
2024-08-18T19:00:00Z,SE Palmeiras,São Paulo FC,2,1,FINISHED
2024-08-18T21:30:00Z,CA Paranaense,EC Juventude,1,2,FINISHED
2024-08-18T21:30:00Z,Botafogo FR,CR Flamengo,4,1,FINISHED
2024-08-19T23:00:00Z,EC Vitória,Cruzeiro EC,2,2,FINISHED
2024-08-24T19:00:00Z,AC Goianiense,EC Juventude,2,1,FINISHED
2024-08-24T21:30:00Z,SE Palmeiras,Cuiabá EC,5,0,FINISHED
2024-08-25T00:00:00Z,CA Mineiro,Fluminense FC,0,2,FINISHED
2024-08-25T19:00:00Z,EC Bahia,Botafogo FR,0,0,FINISHED
2024-08-25T19:00:00Z,Criciúma EC,Grêmio FBPA,0,1,FINISHED
2024-08-25T19:00:00Z,Fortaleza EC,SC Corinthians Paulista,1,0,FINISHED
2024-08-25T21:30:00Z,São Paulo FC,EC Vitória,2,1,FINISHED
2024-08-25T22:00:00Z,SC Internacional,Cruzeiro EC,1,0,FINISHED
2024-08-25T23:00:00Z,CR Flamengo,RB Bragantino,2,1,FINISHED
2024-08-27T00:00:00Z,CR Vasco da Gama,CA Paranaense,2,1,FINISHED
2024-08-28T22:30:00Z,Criciúma EC,RB Bragantino,1,0,FINISHED
2024-08-28T22:30:00Z,Cruzeiro EC,SC Internacional,0,0,FINISHED
2024-08-31T21:30:00Z,Cuiabá EC,Criciúma EC,2,1,FINISHED
2024-09-01T00:00:00Z,Botafogo FR,Fortaleza EC,2,0,FINISHED
2024-09-01T14:00:00Z,Cruzeiro EC,AC Goianiense,3,1,FINISHED
2024-09-01T14:00:00Z,Grêmio FBPA,CA Mineiro,2,3,FINISHED
2024-09-01T19:00:00Z,SC Corinthians Paulista,CR Flamengo,2,1,FINISHED
2024-09-01T21:30:00Z,CA Paranaense,SE Palmeiras,0,2,FINISHED
2024-09-01T21:30:00Z,RB Bragantino,EC Bahia,2,1,FINISHED
2024-09-01T21:30:00Z,Fluminense FC,São Paulo FC,2,0,FINISHED
2024-09-01T21:30:00Z,EC Juventude,SC Internacional,1,3,FINISHED
2024-09-01T21:30:00Z,EC Vitória,CR Vasco da Gama,0,1,FINISHED
2024-09-05T23:00:00Z,Cuiabá EC,EC Juventude,0,0,FINISHED
2024-09-11T22:30:00Z,SC Internacional,Fortaleza EC,2,1,FINISHED
2024-09-14T19:00:00Z,AC Goianiense,EC Vitória,0,2,FINISHED
2024-09-14T21:30:00Z,CA Paranaense,Fortaleza EC,1,1,FINISHED
2024-09-15T00:00:00Z,Botafogo FR,SC Corinthians Paulista,2,1,FINISHED
2024-09-15T19:00:00Z,RB Bragantino,Grêmio FBPA,2,2,FINISHED
2024-09-15T19:00:00Z,EC Juventude,Fluminense FC,2,1,FINISHED
2024-09-15T19:00:00Z,SE Palmeiras,Criciúma EC,5,0,FINISHED
2024-09-15T21:30:00Z,EC Bahia,CA Mineiro,3,0,FINISHED
2024-09-15T21:30:00Z,Cruzeiro EC,São Paulo FC,0,1,FINISHED
2024-09-15T21:30:00Z,CR Flamengo,CR Vasco da Gama,1,1,FINISHED
2024-09-16T23:00:00Z,SC Internacional,Cuiabá EC,3,0,FINISHED
2024-09-21T19:00:00Z,SC Corinthians Paulista,AC Goianiense,3,0,FINISHED
2024-09-21T19:00:00Z,EC Vitória,EC Juventude,1,0,FINISHED
2024-09-21T21:30:00Z,Fluminense FC,Botafogo FR,0,1,FINISHED
2024-09-22T00:00:00Z,Fortaleza EC,EC Bahia,4,1,FINISHED
2024-09-22T19:00:00Z,CA Mineiro,RB Bragantino,3,0,FINISHED
2024-09-22T19:00:00Z,CR Vasco da Gama,SE Palmeiras,0,1,FINISHED
2024-09-22T21:30:00Z,Cuiabá EC,Cruzeiro EC,0,0,FINISHED
2024-09-22T21:30:00Z,Grêmio FBPA,CR Flamengo,3,2,FINISHED
2024-09-22T21:30:00Z,São Paulo FC,SC Internacional,1,3,FINISHED
2024-09-22T23:00:00Z,Criciúma EC,CA Paranaense,0,0,FINISHED
2024-09-25T22:00:00Z,RB Bragantino,SC Internacional,2,2,FINISHED
2024-09-25T22:00:00Z,Grêmio FBPA,Criciúma EC,1,2,FINISHED
2024-09-28T21:30:00Z,SE Palmeiras,CA Mineiro,2,1,FINISHED
2024-09-29T00:00:00Z,Botafogo FR,Grêmio FBPA,0,0,FINISHED
2024-09-29T14:00:00Z,EC Juventude,RB Bragantino,1,1,FINISHED
2024-09-29T19:00:00Z,AC Goianiense,Fluminense FC,1,0,FINISHED
2024-09-29T19:00:00Z,Fortaleza EC,Cuiabá EC,1,0,FINISHED
2024-09-29T19:00:00Z,São Paulo FC,SC Corinthians Paulista,3,1,FINISHED
2024-09-29T21:30:00Z,EC Bahia,Criciúma EC,1,0,FINISHED
2024-09-29T21:30:00Z,Cruzeiro EC,CR Vasco da Gama,1,1,FINISHED
2024-09-29T21:30:00Z,SC Internacional,EC Vitória,3,1,FINISHED
2024-09-29T23:00:00Z,CR Flamengo,CA Paranaense,1,0,FINISHED
2024-10-03T22:00:00Z,Criciúma EC,AC Goianiense,2,0,FINISHED
2024-10-04T00:30:00Z,Fluminense FC,Cruzeiro EC,1,0,FINISHED
2024-10-05T00:30:00Z,Grêmio FBPA,Fortaleza EC,3,1,FINISHED
